[.help6] playerId: 5759; Nick: 'dead'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:17'
[.help5] playerId: 5759; Nick: 'dead'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:17'
[.help4] playerId: 5759; Nick: 'dead'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:18'
[.help3] playerId: 5759; Nick: 'dead'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:18'
[.changenick GM DeadzoneV5] playerId: 5759; Nick: 'dead'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:18'
[.help] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:49'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:49'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:50'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:50'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:50'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:50'
[.cpd 5759 999999] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 02:51'
