[.help] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 06:15'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 06:15'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 06:15'
[.end] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 14:49'
[.g bom jogo a vcs] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 17:46'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:03'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:04'
[.help6] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:04'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:04'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:05'
[.goods] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:06'
[.good] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:06'
[.gift 5759 803007042] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:08'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:08'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:09'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:12'
[.gift 5759 K400_GOAT] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:13'
[.gift 5759 803007042] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:14'
[.gift 5759 702001210] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:16'
[.gift 5759 904007014] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:44'
[.gift 5759 904007011] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:44'
[.gift 5759 904007015] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:45'
[.gift 5759 904007032] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:45'
[.gift 5759 904007029] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:45'
[.gift 5759 904007015] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:46'
[.gift 5759 904007051] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:46'
[.gift 5759 904007048] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:46'
[.gift 5759 904007046] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:47'
[.gift 5759 9040070429] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:47'
[.gift 5759 904007029] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:47'
[.gift 5759 904007015] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/04/20 18:47'
