[.g ITENS NOVOS ADD A LOJA,ESPERO QUE GOSTEM] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 12:21'
[.g a tarde eu volto galera tenho que ir na caixa me incomoda] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 12:38'
[.g vou divulgar] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 16:03'
[.g ajuda ai] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 16:03'
[.help] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 19:04'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 19:04'
[.open2 001] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 19:05'
[.vip] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 19:44'
[.gift] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:54'
[.gift 5759 300005272] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:55'
[.gift 5759 300005277] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:55'
[.gift 5759 300005268] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:55'
[.gift 5759 300005232] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:56'
[.gift 5759 300005082] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:57'
[.gift 5759 300005032] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 20:57'
[.help5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 21:03'
[.cid 5760 300005232] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '29/04/20 21:04'
