[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 11:46'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 11:46'
[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 11:47'
[.help4] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:14'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:14'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:14'
[.fakerank 30] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:15'
[.fakerank 0] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:15'
[.fakerank 40] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:15'
[.fakerank 50] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:15'
[.fakerank 47] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:15'
[.fakerank 46] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:16'
[.fakerank 50] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 19:16'
[.help3] playerId: 5772; Nick: 'patricklima'; Login: 'patrick321'; Ip: '191.5.219.160'; Date: '04/05/20 21:50'
[.help4] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '04/05/20 21:59'
