[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '11/05/20 19:02'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:02'
[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '11/05/20 19:02'
[.nSN] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '11/05/20 19:03'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '11/05/20 19:03'
[.afkcount 5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.afkcount 24] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.afkcount] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.afkcount 66] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.afkcount 5] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
[.help3] playerId: 5759; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '11/05/20 19:03'
