[.g vem] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '12/05/20 22:15'
[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:32'
[.fakerank Major] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 29] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 59] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 30] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 35] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 40] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 46] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 47] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 49] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 50] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 51] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 52] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 51] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:33'
[.fakerank 50] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:34'
[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:55'
[.nSN] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:56'
[.nSN 2] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:56'
[.nSN 1] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:56'
[.help3] playerId: 5791; Nick: 'MMMAT'; Login: 'arleyvictor'; Ip: '201.9.196.107'; Date: '12/05/20 23:56'
[.g ogogog] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 02:59'
[.g ogog] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 03:00'
[.g goo] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 03:01'
[.g goo] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 03:02'
[.g x] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 03:06'
[.g xt oque ta dando] playerId: 5760; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '13/05/20 03:09'
