[.help6] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:06'
[.help7] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:06'
[.help5] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:06'
[.help4] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:06'
[.help3] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:06'
[.changenick GM DeadoneV5] playerId: 5002; Nick: 'Deadzonev5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:07'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:12'
[.setacess 5005 4] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:12'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:12'
[.help4] playerId: 5005; Nick: 'CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '24/05/20 21:27'
[.changerank 5005 53] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:27'
[.help3] playerId: 5005; Nick: 'CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '24/05/20 21:28'
[.changenick GM CJonaas] playerId: 5005; Nick: 'CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '24/05/20 21:28'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:31'
[.cpd 5005 999999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:31'
[.cpd 5005 99999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 21:31'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 22:56'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:04'
[.cpd 5002 999999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:04'
[.cpd 5002 99999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:04'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:37'
[.help4] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:37'
[.help3] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:37'
[.ci 400006087] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:40'
[.cid 5000 400006087] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:40'
[.g as ideia] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '24/05/20 23:50'
[.g respeite todos] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '24/05/20 23:50'
[.g destroy tonto] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '24/05/20 23:51'
[.players1] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 00:20'
