[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 03:45'
[.cpd 5007 999999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 03:45'
[.cpd 5007 99999999] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 03:45'
[.gift 5002 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:08'
[.gift 5006 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:08'
[.gift 5001 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:08'
[.gift 5002 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:11'
[.cid 5006 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:14'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:14'
[.cid 5006 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:15'
[.cid 5001 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:15'
[.ci 70001001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:16'
[.cid 5001 1103003010] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:16'
[.cid 5006 1103003010] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 10:17'
[.g rapeizes vou comer e ja volto] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 11:32'
[.end] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '25/05/20 13:15'
[.g destroy] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:04'
[.g destroy vem no lobby] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:04'
[.g destroy vem no lobby] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:05'
[.g destroy vem no loby] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:05'
[.g destroy vem no lobby] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:05'
[.help3] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:06'
[.g destroy vem no lobby] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '25/05/20 18:10'
