[.fakerank  52] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 13:41'
[.fakerank  51] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 13:41'
[.fakerank 30] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 13:54'
[.fakerank 28] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 13:56'
[.fakerank 27] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 13:56'
[.afkkick VettSTT] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 14:02'
[.afkkick  VettSTT] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 14:02'
[.afkkick  VettSTT] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 14:02'
[.fakerank  54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 14:29'
[.g go] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:38'
[.fakerank 51] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:38'
[.fakerank 53] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:38'
[.fakerank 55] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:39'
[.fakerank 56] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:39'
[.fakerank 54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 17:39'
[.fakerank 52] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:35'
[.fakerank 51] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:35'
[.fakerank  55] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:40'
[.fakerank  56] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:40'
[.fakerank  53] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:40'
[.fakerank  54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:41'
[.fakerank 30] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 18:57'
[.fakerank 54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 19:21'
[.g go] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 20:03'
[.help3] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '186.213.0.140'; Date: '27/05/20 20:04'
