[.help3] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 20:55'
[.g outro mapaaaaaa kk] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:12'
[.cid 5000 300005232] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '27/05/20 21:22'
[.fakerank  51] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:28'
[.fakerank 54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:30'
[.HELP3] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 21:30'
[.help3] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 21:30'
[.fakerank 55] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:33'
[.fakerank 56] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:33'
[.fakerank  56] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:33'
[.fakerank  55] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:33'
[.fakerank  53] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:33'
[.g destroy vai zap] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 21:36'
[.g ] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:36'
[.g ass:Jonas] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 21:36'
[. g] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:36'
[.] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:37'
[.help3] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:39'
[.fakerank 54] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:40'
[.help3] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:57'
[.help3] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:57'
[.changenick [MOD] STEVE] playerId: 5025; Nick: ' STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '27/05/20 21:58'
[.players1] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 22:26'
[.players1] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 23:12'
[.g gogogogo ] playerId: 5005; Nick: 'GM CJonaas'; Login: 'cjonaas'; Ip: '187.2.86.137'; Date: '27/05/20 23:31'
