[.refill2shop] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 02:57'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 02:57'
[.refillshop] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 02:57'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:13'
[.help4] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:14'
[.gift 5016 90000701] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:14'
[.cid 5016 1300009001] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:16'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:19'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:34'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:57'
[.setvip 5030 2] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:57'
[.g JOGADOR NATY OBRIGADO PELA COMPRA DO VIP] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 12:58'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 13:00'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 13:00'
[.cpd 5030 300000] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 13:00'
[.changenick IRON] playerId: 5025; Nick: '[MOD] STEVE'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '28/05/20 13:13'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 13:35'
[.players1] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 13:39'
[.fakerank 42] playerId: 5025; Nick: 'IRON'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '28/05/20 14:05'
[.fakerank 52] playerId: 5025; Nick: 'IRON'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '28/05/20 14:05'
[.fakerank 51] playerId: 5025; Nick: 'IRON'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '28/05/20 14:05'
[.fakerank 54] playerId: 5025; Nick: 'IRON'; Login: 'gabrielbass2005'; Ip: '187.58.93.159'; Date: '28/05/20 14:05'
[.help5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 14:29'
[.setacess 5012 3] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 14:29'
[.changerank 5012 54] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 14:29'
[.changenick GM DeadzoneV5] playerId: 5002; Nick: 'GM DeadoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 14:32'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 14:54'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:01'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:05'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:05'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:05'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:05'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:07'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:07'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:08'
[.changenick SwaG] playerId: 5012; Nick: 'rnpMATAPUTO'; Login: 'zflashzin'; Ip: '45.176.142.20'; Date: '28/05/20 15:08'
[.help5] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:10'
[.cpd 5012 999999999] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:10'
[.cpd 5012 99999999] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:10'
[.help3] playerId: 5012; Nick: 'SwaG'; Login: 'zflashzin'; Ip: '45.176.142.20'; Date: '28/05/20 15:10'
[.players1] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:11'
[.g mais tarde volto gurizada ,att dead] playerId: 5002; Nick: 'GM DeadzoneV5'; Login: 'deadzonev5'; Ip: '131.221.62.12'; Date: '28/05/20 15:11'
