[.help] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:26'
[.help3] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:26'
[.help4] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:26'
[.help5] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:26'
[.help6] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:26'
[.changerank 19 1] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 2] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 3] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 4] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 0] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 5] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.changerank 19 0] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.help5] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.help6] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:50'
[.help5] playerId: 670; Nick: '[ADMIN]Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '30/05/20 23:51'
[.help5] playerId: 1; Nick: '[ADMIN/Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.help6] playerId: 1; Nick: '[ADMIN/Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.help4] playerId: 1; Nick: '[ADMIN/Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.help3] playerId: 1; Nick: '[ADMIN/Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.changenick [ADMIN]Kaway] playerId: 1; Nick: '[ADMIN/Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.help4] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:26'
[.changerank 1 53] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:27'
[.changerank 1 54] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:27'
[.help6] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:27'
[.udp 3] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:28'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:28'
[.setcash 1 999999] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:29'
[.setgold 1 999999] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 16:29'
