[.changerank 52] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:18'
[.changerank 2 52] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:18'
[.changerank 2 53] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:18'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:18'
[.help6] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:18'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help6] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.changerank 52] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.setacess 2 4] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help5] playerId: 1; Nick: '[ADMIN]Kaway'; Login: 'admin'; Ip: '177.36.6.242'; Date: '31/05/20 17:19'
[.help4] playerId: 2; Nick: 'Lain'; Login: 'nibiru'; Ip: '181.191.43.30'; Date: '31/05/20 17:24'
