[.setrank 1 54] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setrank 1 51] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setrank 1 54] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.changerank 1 54] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setcash 1 99999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setcash 1 999999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setcash 1 9999999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setcash 1 99999999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setcash 1 999999990] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:00'
[.setgold 1 9999999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:01'
[.setgold 1 99999999] playerId: 1; Nick: 'Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 02:01'
[.changename] playerId: 1; Nick: '[ADM] Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 12:47'
[.help3] playerId: 1; Nick: '[ADM] Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 12:47'
[.changenick ADM Wulles] playerId: 1; Nick: '[ADM] Wulles'; Login: 'admin'; Ip: '177.36.6.242'; Date: '02/06/20 12:47'
