[Data: 20/05/08 20:46:54][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 20:55:18][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/08 20:55:25][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 20:55:31][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/08 21:51:13][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 21:51:51][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/08 22:11:31][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 22:11:36][Room.addPlayer] Jogador '5784' 'SkyDark'; OldSlot: -1; NewSlot: 1
[Data: 20/05/08 22:34:50][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 0; NewSlot: -1
[Data: 20/05/08 22:35:13][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 22:35:15][Room.SwitchNewSlot] Jogador '5785' 'JChuu'; OldSlot: 0; NewSlot: 1
[Data: 20/05/08 22:35:22][Room.RemovePlayer] Jogador '5784' 'SkyDark'; OldSlot: 1; NewSlot: -1
[Data: 20/05/08 22:35:27][Room.addPlayer] Jogador '5784' 'SkyDark'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 22:58:35][Room.SwitchNewSlot] Jogador '5785' 'JChuu'; OldSlot: 1; NewSlot: 2
[Data: 20/05/08 22:58:37][Room.SwitchNewSlot] Jogador '5785' 'JChuu'; OldSlot: 2; NewSlot: 1
[Data: 20/05/08 23:45:07][Room.RemovePlayer] Jogador '5784' 'SkyDark'; OldSlot: 0; NewSlot: -1
[Data: 20/05/08 23:56:04][Room.addPlayer] Jogador '5769' 'mteocristo'; OldSlot: -1; NewSlot: 0
[Data: 20/05/08 23:57:31][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 1; NewSlot: -1
[Data: 20/05/08 23:57:34][Room.RemovePlayer] Jogador '5769' 'mteocristo'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 00:02:04][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 00:02:18][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
[Data: 20/05/09 00:02:38][Room.RemovePlayer] Jogador '5785' 'JChuu'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 00:02:41][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 1; NewSlot: -1
[Data: 20/05/09 00:02:43][Room.addPlayer] Jogador '5785' 'JChuu'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 00:02:47][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/09 00:02:49][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/09 00:02:54][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
