[Data: 20/05/16 18:42:50][Room.addPlayer] Jogador '5798' 'PROMOBA'; OldSlot: -1; NewSlot: 0
[Data: 20/05/16 18:45:23][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 18:57:40][Room.RemovePlayer] Jogador '5798' 'PROMOBA'; OldSlot: 0; NewSlot: -1
[Data: 20/05/16 18:57:43][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/16 19:19:24][Room.addPlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: -1; NewSlot: 0
[Data: 20/05/16 19:19:33][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 19:20:29][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/05/16 19:21:35][Room.RemovePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 0; NewSlot: -1
[Data: 20/05/16 19:21:40][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/05/16 19:21:49][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/16 19:21:53][Room.addPlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 19:24:57][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 2
[Data: 20/05/16 19:25:04][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 3
[Data: 20/05/16 19:33:23][Room.RemovePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 1; NewSlot: -1
[Data: 20/05/16 19:33:37][Room.addPlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 20:16:38][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/16 20:17:03][Room.RemovePlayer] Jogador '5794' 'zMarcosRajada'; OldSlot: 1; NewSlot: -1
[Data: 20/05/16 20:17:46][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: -1
[Data: 20/05/16 21:10:35][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/16 22:10:38][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/16 22:17:01][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/16 22:17:31][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 22:39:39][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/16 22:46:43][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/16 22:47:08][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/16 22:48:36][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/16 23:49:05][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 00:21:44][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 00:59:42][Room.addPlayer] Jogador '5799' 'Brnn'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 00:59:44][Room.SwitchNewSlot] Jogador '5799' 'Brnn'; OldSlot: 0; NewSlot: 1
[Data: 20/05/17 01:05:13][Room.RemovePlayer] Jogador '5799' 'Brnn'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 02:40:28][Room.addPlayer] Jogador '5800' 'iNurB'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 02:47:18][Room.RemovePlayer] Jogador '5800' 'iNurB'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 02:47:57][Room.addPlayer] Jogador '5800' 'iNurB'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 02:48:11][Room.SwitchNewSlot] Jogador '5800' 'iNurB'; OldSlot: 0; NewSlot: 1
[Data: 20/05/17 02:48:51][Room.RemovePlayer] Jogador '5800' 'iNurB'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 03:01:13][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 03:01:19][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
