[Data: 20/05/12 16:41:03][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 16:47:11][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/12 17:37:47][Room.addPlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 17:37:59][ROOM_CHANGE_TEAM_REC] Jogador '5787' 'yNeeNooAPG'; NewSlot: 1
[Data: 20/05/12 17:38:01][ROOM_CHANGE_TEAM_REC] Jogador '5787' 'yNeeNooAPG'; NewSlot: 0
[Data: 20/05/12 17:38:07][ROOM_CHANGE_TEAM_REC] Jogador '5787' 'yNeeNooAPG'; NewSlot: 1
[Data: 20/05/12 17:38:10][ROOM_CHANGE_TEAM_REC] Jogador '5787' 'yNeeNooAPG'; NewSlot: 0
[Data: 20/05/12 17:38:22][Room.RemovePlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: 0; NewSlot: -1
[Data: 20/05/12 17:39:28][Room.addPlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 17:39:35][Room.RemovePlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: 0; NewSlot: -1
[Data: 20/05/12 17:52:43][Room.addPlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 17:52:47][Room.addPlayer] Jogador '5789' 'yMecTreF7UP'; OldSlot: -1; NewSlot: 1
[Data: 20/05/12 17:53:19][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 2
[Data: 20/05/12 17:53:40][AllUtils.TryBalancePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 2
[Data: 20/05/12 18:15:30][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 2
[Data: 20/05/12 18:15:32][AllUtils.TryBalancePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: 2
[Data: 20/05/12 18:23:14][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: -1
[Data: 20/05/12 18:23:23][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 2
[Data: 20/05/12 18:23:49][AllUtils.TryBalancePlayer] Jogador '5787' 'yNeeNooAPG'; OldSlot: 0; NewSlot: 0
[Data: 20/05/12 18:28:01][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/12 18:30:20][AllUtils.TryBalancePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: 0
[Data: 20/05/12 18:31:26][Room.SwitchNewSlot] Jogador '5787' 'yNeeNooAPG'; OldSlot: 3; NewSlot: 0
[Data: 20/05/12 18:31:51][Room.RemovePlayer] Jogador '5789' 'yMecTreF7UP'; OldSlot: 1; NewSlot: -1
[Data: 20/05/12 18:33:04][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 5; NewSlot: -1
