[Data: 20/05/13 19:20:29][Room.addPlayer] Jogador '5767' 'XTDorgado'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 19:21:34][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:36][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:21:40][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:42][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:21:44][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:46][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:21:49][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:51][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:21:53][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:54][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:21:56][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:21:57][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:22:02][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: 1
[Data: 20/05/13 19:22:04][Room.SwitchNewSlot] Jogador '5767' 'XTDorgado'; OldSlot: 1; NewSlot: 0
[Data: 20/05/13 19:22:20][Room.RemovePlayer] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 19:29:39][Room.addPlayer] Jogador '5767' 'XTDorgado'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 19:29:47][Room.RemovePlayer] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 19:29:55][Room.addPlayer] Jogador '5767' 'XTDorgado'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 19:39:36][Room.RemovePlayer] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 20:18:27][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 20:19:06][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/13 20:31:20][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 20:34:52][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/13 20:35:01][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 20:35:03][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 20:46:04][Room.addPlayer] Jogador '5767' 'XTDorgado'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 20:46:11][Room.addPlayer] Jogador '5791' 'MMMAT'; OldSlot: -1; NewSlot: 1
[Data: 20/05/13 20:46:12][Room.addPlayer] Jogador '5785' 'Destroyhack'; OldSlot: -1; NewSlot: 2
[Data: 20/05/13 20:47:04][Room.SwitchNewSlot] Jogador '5785' 'Destroyhack'; OldSlot: 2; NewSlot: 3
[Data: 20/05/13 20:49:56][Room.RemovePlayer] Jogador '5767' 'XTDorgado'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 20:53:36][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 20:54:46][Room.RemovePlayer] Jogador '5785' 'Destroyhack'; OldSlot: 3; NewSlot: -1
[Data: 20/05/13 20:54:55][Room.addPlayer] Jogador '5785' 'Destroyhack'; OldSlot: -1; NewSlot: 0
[Data: 20/05/13 20:54:57][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/13 20:55:04][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/13 20:55:49][Room.RemovePlayer] Jogador '5791' 'MMMAT'; OldSlot: 1; NewSlot: -1
