[Data: 20/05/17 13:37:20][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 13:47:57][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 13:50:20][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 13:50:58][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 14:04:18][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 14:04:22][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 14:12:31][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 14:12:37][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 14:37:44][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 14:41:48][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 14:42:10][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 14:45:29][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 14:51:08][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 14:51:16][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 14:59:22][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 14:59:40][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 14:59:41][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 14:59:42][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 3; NewSlot: 0
[Data: 20/05/17 14:59:43][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: 3
[Data: 20/05/17 14:59:45][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 14:59:45][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 14:59:48][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 14:59:49][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 14:59:54][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 14:59:59][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 14:59:59][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:00:02][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 15:00:36][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 15:00:40][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:00:44][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 2; NewSlot: 3
[Data: 20/05/17 15:08:51][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:23:36][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 15:23:38][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 15:23:43][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 15:23:45][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 15:23:47][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 15:23:48][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 15:23:50][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:23:50][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 15:24:05][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 15:24:09][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 15:30:49][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: 5
[Data: 20/05/17 15:30:52][Room.SwitchNewSlot] Jogador '5776' 'NATYZIN'; OldSlot: 1; NewSlot: 2
[Data: 20/05/17 15:31:38][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/05/17 15:31:38][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 2; NewSlot: -1
[Data: 20/05/17 15:31:45][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 15:31:48][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/17 15:31:53][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/17 15:32:02][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 1
[Data: 20/05/17 15:32:24][ROOM_CHANGE_TEAM_REC] Jogador '5776' 'NATYZIN'; NewSlot: 0
[Data: 20/05/17 15:32:24][ROOM_CHANGE_TEAM_REC] Jogador '5760' 'GM CJonaas'; NewSlot: 1
[Data: 20/05/17 15:34:51][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 5; NewSlot: -1
[Data: 20/05/17 15:34:53][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 0; NewSlot: -1
[Data: 20/05/17 15:34:55][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 2
[Data: 20/05/17 15:34:57][Room.addPlayer] Jogador '5801' 'HouseR3D23'; OldSlot: -1; NewSlot: 3
[Data: 20/05/17 15:35:31][AllUtils.TryBalancePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: 2
[Data: 20/05/17 15:37:07][Room.SwitchNewSlot] Jogador '5801' 'HouseR3D23'; OldSlot: 3; NewSlot: 2
[Data: 20/05/17 15:48:24][Room.RemovePlayer] Jogador '5801' 'HouseR3D23'; OldSlot: 2; NewSlot: -1
