[Data: 20/05/19 07:30:18][Room.addPlayer] Jogador '5815' 'Waypiz'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 07:30:23][Room.SwitchNewSlot] Jogador '5815' 'Waypiz'; OldSlot: 0; NewSlot: 1
[Data: 20/05/19 07:42:45][Room.RemovePlayer] Jogador '5815' 'Waypiz'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 09:37:49][Room.addPlayer] Jogador '5815' 'Waypiz'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 09:38:03][Room.addPlayer] Jogador '5816' 'Wey'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 09:43:58][Room.RemovePlayer] Jogador '5815' 'Waypiz'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 09:57:05][Room.RemovePlayer] Jogador '5816' 'Wey'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 10:07:22][Room.addPlayer] Jogador '5816' 'Wey'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 10:07:31][Room.addPlayer] Jogador '5815' 'Waypiz'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 10:31:03][Room.RemovePlayer] Jogador '5816' 'Wey'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 10:31:58][Room.addPlayer] Jogador '5816' 'Wey'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 10:33:13][Room.RemovePlayer] Jogador '5815' 'Waypiz'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 10:33:18][Room.addPlayer] Jogador '5815' 'Waypiz'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 10:33:29][Room.SwitchNewSlot] Jogador '5816' 'Wey'; OldSlot: 0; NewSlot: 3
[Data: 20/05/19 10:33:33][Room.SwitchNewSlot] Jogador '5816' 'Wey'; OldSlot: 3; NewSlot: 0
[Data: 20/05/19 10:33:36][ROOM_CHANGE_TEAM_REC] Jogador '5815' 'Waypiz'; NewSlot: 0
[Data: 20/05/19 10:33:36][ROOM_CHANGE_TEAM_REC] Jogador '5816' 'Wey'; NewSlot: 1
[Data: 20/05/19 11:21:49][Room.RemovePlayer] Jogador '5815' 'Waypiz'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 11:28:42][Room.RemovePlayer] Jogador '5816' 'Wey'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 12:24:13][Room.addPlayer] Jogador '5814' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 12:24:15][Room.RemovePlayer] Jogador '5814' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 12:27:41][Room.addPlayer] Jogador '5814' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 12:29:04][Room.RemovePlayer] Jogador '5814' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 12:33:36][Room.addPlayer] Jogador '5814' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 12:44:52][Room.RemovePlayer] Jogador '5814' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 15:19:41][Room.addPlayer] Jogador '5818' 'Primata'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 15:21:54][Room.RemovePlayer] Jogador '5818' 'Primata'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 16:05:09][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 16:05:34][Room.addPlayer] Jogador '5815' 'Waypiz'; OldSlot: -1; NewSlot: 2
[Data: 20/05/19 16:08:41][Room.RemovePlayer] Jogador '5815' 'Waypiz'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 16:15:07][Room.addPlayer] Jogador '5817' 'ItzS0MBR10zzz'; OldSlot: -1; NewSlot: 2
[Data: 20/05/19 16:17:26][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 16:17:30][Room.RemovePlayer] Jogador '5817' 'ItzS0MBR10zzz'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 16:17:54][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 16:17:59][Room.addPlayer] Jogador '5817' 'ItzS0MBR10zzz'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 16:28:08][Room.SwitchNewSlot] Jogador '5817' 'ItzS0MBR10zzz'; OldSlot: 1; NewSlot: 2
[Data: 20/05/19 16:28:09][Room.SwitchNewSlot] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: 1
[Data: 20/05/19 16:35:15][Room.RemovePlayer] Jogador '5817' 'ItzS0MBR10zzz'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 16:35:33][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 16:39:35][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 16:39:40][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 16:42:01][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 16:48:39][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 16:48:51][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 16:50:44][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 16:52:55][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 17:41:44][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
