[Data: 20/05/19 20:30:14][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 20:37:46][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: 1
[Data: 20/05/19 20:37:49][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 0
[Data: 20/05/19 20:37:50][Room.RemovePlayer] Jogador '5760' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 20:38:58][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 20:39:05][Room.addPlayer] Jogador '5760' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 20:39:11][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/05/19 20:39:12][Room.SwitchNewSlot] Jogador '5760' 'GM CJonaas'; OldSlot: 2; NewSlot: 1
[Data: 20/05/19 20:52:21][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 21:24:13][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 21:25:20][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 2
[Data: 20/05/19 21:28:09][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 3
[Data: 20/05/19 21:29:53][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 3; NewSlot: -1
[Data: 20/05/19 21:34:01][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 0; NewSlot: 3
[Data: 20/05/19 21:34:49][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 21:42:06][AllUtils.TryBalancePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 0
[Data: 20/05/19 21:47:54][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 3; NewSlot: 0
[Data: 20/05/19 21:47:56][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 0; NewSlot: 3
[Data: 20/05/19 21:47:58][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 3; NewSlot: 0
[Data: 20/05/19 21:49:45][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 0; NewSlot: 3
[Data: 20/05/19 21:49:47][Room.SwitchNewSlot] Jogador '5797' 'Wayzin'; OldSlot: 3; NewSlot: 0
[Data: 20/05/19 21:57:09][AllUtils.TryBalancePlayer] Jogador '5797' 'Wayzin'; OldSlot: 0; NewSlot: 0
[Data: 20/05/19 22:01:40][Room.addPlayer] Jogador '5798' 'HouseR3D'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:02:42][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 3; NewSlot: -1
[Data: 20/05/19 22:03:07][Room.RemovePlayer] Jogador '5798' 'HouseR3D'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 22:03:48][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 22:03:51][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 5; NewSlot: -1
[Data: 20/05/19 22:03:53][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:04:08][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 2
[Data: 20/05/19 22:04:30][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 22:04:39][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 22:04:49][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:08:40][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 22:08:46][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:10:30][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 22:10:33][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 1; NewSlot: -1
[Data: 20/05/19 22:10:38][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:10:43][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 22:13:24][Room.addPlayer] Jogador '5798' 'HouseR3D'; OldSlot: -1; NewSlot: 0
[Data: 20/05/19 22:13:50][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 2
[Data: 20/05/19 22:13:59][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 2; NewSlot: -1
[Data: 20/05/19 22:18:56][Room.RemovePlayer] Jogador '5798' 'HouseR3D'; OldSlot: 0; NewSlot: -1
[Data: 20/05/19 22:19:25][Room.addPlayer] Jogador '5798' 'HouseR3D'; OldSlot: -1; NewSlot: 1
[Data: 20/05/19 22:19:30][Room.SwitchNewSlot] Jogador '5798' 'HouseR3D'; OldSlot: 1; NewSlot: 2
