[Data: 20/05/20 23:58:54][Room.addPlayer] Jogador '5799' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/20 23:59:08][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 00:01:23][Room.addPlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: -1; NewSlot: 2
[Data: 20/05/21 00:01:32][AllUtils.TryBalancePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 2; NewSlot: 2
[Data: 20/05/21 00:03:26][Room.SwitchNewSlot] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 3; NewSlot: 2
[Data: 20/05/21 00:10:51][Room.RemovePlayer] Jogador '5799' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 00:10:55][Room.addPlayer] Jogador '5799' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 00:18:13][Room.RemovePlayer] Jogador '5799' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 00:18:20][Room.addPlayer] Jogador '5799' 'MaxMilan'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 00:18:41][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 3
[Data: 20/05/21 00:25:30][Room.RemovePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 2; NewSlot: -1
[Data: 20/05/21 00:25:34][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 3; NewSlot: -1
[Data: 20/05/21 00:25:38][Room.RemovePlayer] Jogador '5799' 'MaxMilan'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 00:25:40][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/21 00:25:54][Room.addPlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 00:25:57][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 00:25:59][Room.addPlayer] Jogador '5799' 'MaxMilan'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 00:26:02][Room.SwitchNewSlot] Jogador '5799' 'MaxMilan'; OldSlot: 1; NewSlot: 2
[Data: 20/05/21 00:26:05][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 00:26:05][Room.addPlayer] Jogador '5797' 'Wayzin'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 00:26:08][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 3
[Data: 20/05/21 00:26:34][AllUtils.TryBalancePlayer] Jogador '5799' 'MaxMilan'; OldSlot: 2; NewSlot: 2
[Data: 20/05/21 00:26:37][AllUtils.TryBalancePlayer] Jogador '5784' 'Donkey05'; OldSlot: 3; NewSlot: 3
[Data: 20/05/21 00:47:46][Room.RemovePlayer] Jogador '5799' 'MaxMilan'; OldSlot: 5; NewSlot: -1
[Data: 20/05/21 00:48:02][Room.RemovePlayer] Jogador '5797' 'Wayzin'; OldSlot: 1; NewSlot: -1
[Data: 20/05/21 00:48:06][Room.RemovePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 00:48:10][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 2; NewSlot: -1
[Data: 20/05/21 00:49:07][Room.addPlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 00:49:12][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 01:05:50][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/21 01:06:28][Room.RemovePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 01:18:23][Room.addPlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 01:18:28][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 01:27:24][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/21 01:28:24][Room.RemovePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/21 01:28:37][Room.addPlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/21 01:31:22][Room.addPlayer] Jogador '5784' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/21 01:32:06][Room.RemovePlayer] Jogador '5784' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/21 01:39:54][Room.RemovePlayer] Jogador '5802' 'ZzZJ0K3RITzJpzZ'; OldSlot: 0; NewSlot: -1
