[Data: 20/05/24 13:22:48][Room.addPlayer] Jogador '5776' 'NATYZIN'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 13:22:57][Room.RemovePlayer] Jogador '5776' 'NATYZIN'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 14:53:01][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 14:58:08][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 15:08:39][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 15:22:24][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 15:24:11][Room.addPlayer] Jogador '5763' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 15:27:49][Room.RemovePlayer] Jogador '5763' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 15:29:25][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 15:29:37][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 15:29:57][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 15:46:20][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 15:46:47][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 15:59:05][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 15:59:08][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 15:59:54][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 16:03:47][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 16:03:51][Room.addPlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: -1; NewSlot: 3
[Data: 20/05/24 16:29:37][Room.RemovePlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 16:34:15][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 3; NewSlot: 2
[Data: 20/05/24 16:41:38][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 3
[Data: 20/05/24 16:41:53][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 2; NewSlot: 5
[Data: 20/05/24 16:41:55][Room.SwitchNewSlot] Jogador '5780' 'SHELBY_1919'; OldSlot: 5; NewSlot: 0
[Data: 20/05/24 16:41:56][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 3; NewSlot: 2
[Data: 20/05/24 16:41:57][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: 3
[Data: 20/05/24 16:48:26][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 3; NewSlot: 2
[Data: 20/05/24 17:08:08][Room.RemovePlayer] Jogador '5780' 'SHELBY_1919'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 17:17:18][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 17:17:22][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 17:25:34][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 17:26:35][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 17:29:55][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 17:29:56][Room.RemovePlayer] Jogador '5762' 'COD'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 18:32:56][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 18:33:34][Room.addPlayer] Jogador '5804' 'Ch9pX_YT'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 18:35:27][Room.addPlayer] Jogador '5762' 'COD'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 18:35:36][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 2; NewSlot: 3
[Data: 20/05/24 18:41:12][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 18:41:14][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 3; NewSlot: 0
[Data: 20/05/24 18:41:17][Room.SwitchNewSlot] Jogador '5762' 'COD'; OldSlot: 0; NewSlot: 3
[Data: 20/05/24 18:42:27][Room.SwitchNewSlot] Jogador '5804' 'Ch9pX_YT'; OldSlot: 1; NewSlot: 0
