[Data: 20/05/24 21:03:49][Room.addPlayer] Jogador '5003' 'Faze|Ch9pX'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 21:05:17][Room.addPlayer] Jogador '5004' 'cateano'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 21:05:22][Room.RemovePlayer] Jogador '5004' 'cateano'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 21:05:37][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 21:06:52][Room.addPlayer] Jogador '5004' 'cateano'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 21:07:18][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 21:08:46][AllUtils.TryBalancePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 2; NewSlot: 2
[Data: 20/05/24 21:09:10][Room.RemovePlayer] Jogador '5004' 'cateano'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 21:09:16][Room.addPlayer] Jogador '5004' 'cateano'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 21:09:20][Room.RemovePlayer] Jogador '5004' 'cateano'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 21:09:38][Room.addPlayer] Jogador '5005' 'CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 21:09:44][Room.RemovePlayer] Jogador '5005' 'CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 21:09:51][Room.addPlayer] Jogador '5004' 'cateano'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 21:11:53][Room.RemovePlayer] Jogador '5004' 'cateano'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 21:15:45][Room.addPlayer] Jogador '5004' 'cateano'; OldSlot: -1; NewSlot: 2
[Data: 20/05/24 21:15:50][Room.RemovePlayer] Jogador '5004' 'cateano'; OldSlot: 2; NewSlot: -1
[Data: 20/05/24 21:19:36][Room.RemovePlayer] Jogador '5003' 'Faze|Ch9pX'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 21:19:47][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 21:19:50][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 3; NewSlot: -1
[Data: 20/05/24 21:20:52][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/24 21:21:08][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 1
[Data: 20/05/24 21:21:11][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 1; NewSlot: -1
[Data: 20/05/24 21:21:48][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/24 21:22:03][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
