[Data: 20/05/26 08:48:07][Room.addPlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 08:50:04][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 08:52:17][Room.RemovePlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 09:00:23][Room.addPlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 09:01:18][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 09:01:23][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/26 09:01:24][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 09:02:50][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/26 09:02:51][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 09:05:09][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/26 09:05:11][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 09:13:46][Room.RemovePlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 09:18:38][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 09:19:38][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 09:20:07][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 09:21:22][Room.addPlayer] Jogador '5013' 'Donkey05'; OldSlot: -1; NewSlot: 1
[Data: 20/05/26 09:22:13][Room.SwitchNewSlot] Jogador '5013' 'Donkey05'; OldSlot: 1; NewSlot: 2
[Data: 20/05/26 09:22:15][Room.SwitchNewSlot] Jogador '5013' 'Donkey05'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 09:35:08][Room.RemovePlayer] Jogador '5013' 'Donkey05'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 09:38:02][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 09:47:59][Room.addPlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 09:48:17][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 09:48:22][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 10:08:45][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'HeroiSidiSTT'; NewSlot: 0
[Data: 20/05/26 10:08:45][ROOM_CHANGE_TEAM_REC] Jogador '5007' 'zZzJ0k3RITzJpzZ'; NewSlot: 1
[Data: 20/05/26 10:08:51][ROOM_CHANGE_TEAM_REC] Jogador '5007' 'zZzJ0k3RITzJpzZ'; NewSlot: 0
[Data: 20/05/26 10:08:51][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'HeroiSidiSTT'; NewSlot: 1
[Data: 20/05/26 10:10:12][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 2
[Data: 20/05/26 10:10:14][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 10:21:43][Room.RemovePlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 10:22:00][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 10:28:00][Room.addPlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 10:28:16][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 1
[Data: 20/05/26 10:28:19][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 1; NewSlot: 2
[Data: 20/05/26 10:28:20][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 10:31:13][Room.addPlayer] Jogador '5016' 'VettSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 10:31:23][AllUtils.TryBalancePlayer] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: 0
[Data: 20/05/26 10:33:38][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 3; NewSlot: 0
[Data: 20/05/26 10:39:11][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 2; NewSlot: -1
[Data: 20/05/26 11:06:33][Room.addPlayer] Jogador '5018' 'aslanaraujo'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 11:06:37][Room.SwitchNewSlot] Jogador '5018' 'aslanaraujo'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 11:06:50][Room.RemovePlayer] Jogador '5018' 'aslanaraujo'; OldSlot: 3; NewSlot: -1
[Data: 20/05/26 11:07:09][Room.addPlayer] Jogador '5019' ':)'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 11:07:09][Room.addPlayer] Jogador '5018' 'aslanaraujo'; OldSlot: -1; NewSlot: 3
[Data: 20/05/26 11:15:44][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 4
[Data: 20/05/26 11:23:44][Room.RemovePlayer] Jogador '5019' ':)'; OldSlot: 2; NewSlot: -1
[Data: 20/05/26 11:23:49][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 11:23:51][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 5; NewSlot: 2
[Data: 20/05/26 11:23:51][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: 4
[Data: 20/05/26 11:23:53][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 11:27:29][Room.addPlayer] Jogador '5019' ':)'; OldSlot: -1; NewSlot: 0
