[Data: 20/05/27 20:36:06][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:40:01][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 20:40:05][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 20:40:10][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 20:40:21][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:40:25][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 20:40:28][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 20:43:21][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:43:34][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 20:44:17][Room.SwitchNewSlot] Jogador '5002' 'GM DeadoneV5'; OldSlot: 0; NewSlot: 3
[Data: 20/05/27 20:48:42][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 20:48:48][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:48:56][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 20:51:01][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:53:13][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 20:53:26][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 20:55:27][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 20:55:28][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 20:55:28][Room.RemovePlayer] Jogador '5025' ' STEVE'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 20:56:12][Room.addPlayer] Jogador '5025' ' STEVE'; OldSlot: -1; NewSlot: 8
[Data: 20/05/27 21:11:58][Room.SwitchNewSlot] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: 3
[Data: 20/05/27 21:12:13][Room.SwitchNewSlot] Jogador '5025' ' STEVE'; OldSlot: 8; NewSlot: 5
[Data: 20/05/27 21:12:14][Room.SwitchNewSlot] Jogador '5025' ' STEVE'; OldSlot: 5; NewSlot: 0
[Data: 20/05/27 21:12:20][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 2
[Data: 20/05/27 21:13:30][Room.SwitchNewSlot] Jogador '5005' 'GM CJonaas'; OldSlot: 3; NewSlot: 4
[Data: 20/05/27 21:13:50][Room.SwitchNewSlot] Jogador '5025' ' STEVE'; OldSlot: 0; NewSlot: 3
[Data: 20/05/27 21:33:35][Room.SwitchNewSlot] Jogador '5005' 'GM CJonaas'; OldSlot: 4; NewSlot: 5
[Data: 20/05/27 21:33:36][Room.SwitchNewSlot] Jogador '5005' 'GM CJonaas'; OldSlot: 5; NewSlot: 0
[Data: 20/05/27 21:37:01][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 21:39:54][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 21:40:26][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 21:43:36][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 21:43:41][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 21:44:03][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 21:44:59][Room.addPlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: -1; NewSlot: 4
[Data: 20/05/27 21:45:04][Room.RemovePlayer] Jogador '5002' 'GM DeadoneV5'; OldSlot: 4; NewSlot: -1
[Data: 20/05/27 22:00:24][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: 4
[Data: 20/05/27 22:00:25][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 4; NewSlot: 1
[Data: 20/05/27 22:02:05][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 2; NewSlot: 5
[Data: 20/05/27 22:04:28][Room.SwitchNewSlot] Jogador '5025' '[MOD] STEVE'; OldSlot: 3; NewSlot: 2
[Data: 20/05/27 22:06:40][Room.SwitchNewSlot] Jogador '5025' '[MOD] STEVE'; OldSlot: 2; NewSlot: 3
[Data: 20/05/27 22:12:50][Room.RemovePlayer] Jogador '5025' '[MOD] STEVE'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 22:18:43][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 22:19:18][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 5; NewSlot: 2
[Data: 20/05/27 22:19:20][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 2; NewSlot: 1
[Data: 20/05/27 22:20:50][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 22:20:53][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 22:23:41][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 1; NewSlot: -1
