[Data: 20/05/29 08:26:10][Room.addPlayer] Jogador '5007' 'ZzJ0K3RzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/29 08:41:15][Room.RemovePlayer] Jogador '5007' 'ZzJ0K3RzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/29 09:50:17][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 0
[Data: 20/05/29 09:50:48][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 1
[Data: 20/05/29 10:17:05][ROOM_CHANGE_TEAM_REC] Jogador '5019' 'DznnNN.5K'; NewSlot: 0
[Data: 20/05/29 10:17:05][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'COD'; NewSlot: 1
[Data: 20/05/29 10:17:07][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'COD'; NewSlot: 0
[Data: 20/05/29 10:17:07][ROOM_CHANGE_TEAM_REC] Jogador '5019' 'DznnNN.5K'; NewSlot: 1
[Data: 20/05/29 10:18:05][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: 2
[Data: 20/05/29 10:18:08][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 2; NewSlot: 1
[Data: 20/05/29 10:31:23][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 1; NewSlot: -1
[Data: 20/05/29 10:32:14][Room.RemovePlayer] Jogador '5001' 'COD'; OldSlot: 0; NewSlot: -1
[Data: 20/05/29 10:48:22][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/29 11:00:03][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/29 11:04:08][Room.addPlayer] Jogador '5007' 'ZzJ0K3RzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/29 11:15:38][Room.RemovePlayer] Jogador '5007' 'ZzJ0K3RzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/29 11:16:03][Room.addPlayer] Jogador '5007' 'ZzJ0K3RzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/29 11:26:25][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 1
[Data: 20/05/29 11:32:45][Room.addPlayer] Jogador '5001' 'COD'; OldSlot: -1; NewSlot: 4
[Data: 20/05/29 11:32:49][Room.SwitchNewSlot] Jogador '5001' 'COD'; OldSlot: 4; NewSlot: 5
[Data: 20/05/29 11:34:18][Room.SwitchNewSlot] Jogador '5001' 'COD'; OldSlot: 5; NewSlot: 4
