[Data: 20/05/30 23:27:12][Room.addPlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/05/30 23:27:57][Room.addPlayer] Jogador '19' 'Caillou'; OldSlot: -1; NewSlot: 1
[Data: 20/05/30 23:32:21][Room.RemovePlayer] Jogador '19' 'Caillou'; OldSlot: 1; NewSlot: -1
[Data: 20/05/30 23:32:23][Room.RemovePlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/05/30 23:32:27][Room.addPlayer] Jogador '19' 'Caillou'; OldSlot: -1; NewSlot: 0
[Data: 20/05/30 23:32:31][Room.addPlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: -1; NewSlot: 1
[Data: 20/05/30 23:35:44][Room.addPlayer] Jogador '680' 'BibiXinha'; OldSlot: -1; NewSlot: 2
[Data: 20/05/30 23:36:22][Room.SwitchNewSlot] Jogador '680' 'BibiXinha'; OldSlot: 2; NewSlot: 3
[Data: 20/05/30 23:36:29][Room.SwitchNewSlot] Jogador '680' 'BibiXinha'; OldSlot: 3; NewSlot: 2
[Data: 20/05/30 23:36:39][AllUtils.TryBalancePlayer] Jogador '680' 'BibiXinha'; OldSlot: 2; NewSlot: 2
[Data: 20/05/30 23:50:52][Room.SwitchNewSlot] Jogador '680' 'BibiXinha'; OldSlot: 3; NewSlot: 2
[Data: 20/05/30 23:50:54][Room.SwitchNewSlot] Jogador '680' 'BibiXinha'; OldSlot: 2; NewSlot: 3
[Data: 20/05/30 23:51:09][Room.RemovePlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: 1; NewSlot: -1
[Data: 20/05/30 23:51:12][Room.addPlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: -1; NewSlot: 1
[Data: 20/05/31 00:03:13][Room.RemovePlayer] Jogador '670' '[ADMIN]Kaway'; OldSlot: 1; NewSlot: -1
[Data: 20/05/31 00:03:30][Room.RemovePlayer] Jogador '19' 'Caillou'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 00:03:48][Room.RemovePlayer] Jogador '680' 'BibiXinha'; OldSlot: 3; NewSlot: -1
[Data: 20/05/31 00:10:35][Room.addPlayer] Jogador '19' 'Caillou'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 00:11:45][Room.addPlayer] Jogador '680' 'BibiXinha'; OldSlot: -1; NewSlot: 1
[Data: 20/05/31 00:11:49][Room.SwitchNewSlot] Jogador '680' 'BibiXinha'; OldSlot: 1; NewSlot: 2
[Data: 20/05/31 00:13:42][Room.RemovePlayer] Jogador '19' 'Caillou'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 00:16:38][Room.RemovePlayer] Jogador '680' 'BibiXinha'; OldSlot: 2; NewSlot: -1
[Data: 20/05/31 00:25:52][Room.addPlayer] Jogador '21' 'galadoBoy'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 00:38:56][Room.RemovePlayer] Jogador '21' 'galadoBoy'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 01:41:18][Room.addPlayer] Jogador '19' 'Caillou'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 01:43:18][Room.RemovePlayer] Jogador '19' 'Caillou'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 10:35:52][Room.addPlayer] Jogador '683' 'joaofrgostoso'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 10:53:33][Room.RemovePlayer] Jogador '683' 'joaofrgostoso'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 12:21:20][Room.addPlayer] Jogador '683' 'joaofrgostoso'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 12:39:37][Room.RemovePlayer] Jogador '683' 'joaofrgostoso'; OldSlot: 0; NewSlot: -1
[Data: 20/05/31 13:26:44][Room.addPlayer] Jogador '683' 'joaofrgostoso'; OldSlot: -1; NewSlot: 0
[Data: 20/05/31 13:51:00][Room.RemovePlayer] Jogador '683' 'joaofrgostoso'; OldSlot: 0; NewSlot: -1
