[Data: 20/06/01 01:24:13][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 01:24:15][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 01:24:19][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 01:24:21][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 01:24:25][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 01:40:48][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 01:43:31][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 01:47:10][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 01:49:29][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 01:49:31][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 02:01:16][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 02:17:50][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 02:31:56][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 02:32:38][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 02:32:42][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 02:33:03][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 02:33:23][Room.addPlayer] Jogador '1' 'Kaway'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 02:38:44][Room.SwitchNewSlot] Jogador '1' 'Kaway'; OldSlot: 0; NewSlot: 1
[Data: 20/06/01 02:47:54][Room.RemovePlayer] Jogador '1' 'Kaway'; OldSlot: 1; NewSlot: -1
[Data: 20/06/01 03:09:34][Room.addPlayer] Jogador '1' '[ADM]Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 03:12:10][Room.SwitchNewSlot] Jogador '1' '[ADM]Wulles'; OldSlot: 0; NewSlot: 1
[Data: 20/06/01 03:23:48][Room.SwitchNewSlot] Jogador '1' '[ADM]Wulles'; OldSlot: 1; NewSlot: 0
[Data: 20/06/01 03:23:50][Room.SwitchNewSlot] Jogador '1' '[ADM]Wulles'; OldSlot: 0; NewSlot: 1
[Data: 20/06/01 03:23:54][Room.SwitchNewSlot] Jogador '1' '[ADM]Wulles'; OldSlot: 1; NewSlot: 0
[Data: 20/06/01 03:23:56][Room.RemovePlayer] Jogador '1' '[ADM]Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 03:52:14][Room.addPlayer] Jogador '1' '[ADM]Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 03:54:13][Room.RemovePlayer] Jogador '1' '[ADM]Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/01 03:54:18][Room.addPlayer] Jogador '1' '[ADM]Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/01 03:58:00][Room.RemovePlayer] Jogador '1' '[ADM]Wulles'; OldSlot: 0; NewSlot: -1
