[Data: 20/06/02 01:01:22][Room.addPlayer] Jogador '637' 'Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 01:02:09][Room.RemovePlayer] Jogador '637' 'Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 01:47:07][Room.addPlayer] Jogador '637' 'Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 01:49:48][Room.RemovePlayer] Jogador '637' 'Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 01:53:02][Room.addPlayer] Jogador '637' 'Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 01:56:31][Room.RemovePlayer] Jogador '637' 'Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 02:01:29][Room.addPlayer] Jogador '1' 'Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 02:02:49][Room.RemovePlayer] Jogador '1' 'Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 02:02:55][Room.addPlayer] Jogador '1' 'Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 02:08:14][Room.RemovePlayer] Jogador '1' 'Wulles'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 12:47:48][Room.addPlayer] Jogador '1' 'ADM Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 12:56:51][Room.RemovePlayer] Jogador '1' 'ADM Wulles'; OldSlot: 0; NewSlot: -1
