[Data: 20/06/02 22:37:50][Room.addPlayer] Jogador '1' 'ADM Wulles'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 22:37:52][Room.SwitchNewSlot] Jogador '1' 'ADM Wulles'; OldSlot: 0; NewSlot: 1
[Data: 20/06/02 22:37:53][Room.RemovePlayer] Jogador '1' 'ADM Wulles'; OldSlot: 1; NewSlot: -1
[Data: 20/06/02 22:46:21][Room.addPlayer] Jogador '3' 'Lain1234'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 22:55:32][Room.RemovePlayer] Jogador '3' 'Lain1234'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 22:57:35][Room.addPlayer] Jogador '3' 'Lain1234'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 23:02:41][Room.RemovePlayer] Jogador '3' 'Lain1234'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 23:07:40][Room.addPlayer] Jogador '3' 'Lain1234'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 23:15:29][Room.RemovePlayer] Jogador '3' 'Lain1234'; OldSlot: 0; NewSlot: -1
[Data: 20/06/02 23:17:09][Room.addPlayer] Jogador '3' 'Lain1234'; OldSlot: -1; NewSlot: 0
[Data: 20/06/02 23:23:38][Room.RemovePlayer] Jogador '3' 'Lain1234'; OldSlot: 0; NewSlot: -1
